id,SourceBook,PageNoStart,PageNoEnd,SurahNo,Ayah,ScientificTopicTextEnglish,Volume,ScientificTopicTextArabic,TafsirID
50,Tafsir Ayat Al Konia,503,510,16,69,"The Diet of Bees and Their Role in the Community Bees feed on flowers, nectar, and pollen. Each member of the bee community has a role in procuring and storing food. The various organs of the bee's body are described, highlighting how they are perfectly adapted (by Allah's power in creation) to produce all the compounds that bees generate.",1,غذاء النحل من الزهور والرحائق المصاحبة لها، كذلك من حبوب اللقاح، ودور كل فرد فى مجتمع النحل فى تدبير الغذاء وخزنه، ووصف الأعضاء المختلفة فى جسم النحل، وكيفية تواءمه (بقدرة الله تعالى فى خلقه) لإنتاج كل ما ينتجه النحل من مُركبات,TAAK_1_16_69
51,Tafsir Ayat Al Konia,511,518,16,69,"Detailed Description of the Compounds Produced by Bees A comprehensive description is provided of the diverse compounds produced by bees, each with distinct colors, tastes, and benefits. These include honey, royal jelly, beeswax, bee propolis and glue, bee venom, and bee bread.",1,شرح تفصيلى لما ينتجه النحل من مركبات مختلفة الألوان والطعم والفوائد، مثل عسل النحل، الغذاء الملكى، شمع النحل، صموغ النحل وغراؤه، سم النحل، خبز النحل,TAAK_1_16_69
52,Tafsir Ayat Al Konia,519,528,16,69,"The nutritional and medicinal benefits of everything that comes out of the honeybee’s abdomen, from different compounds.",1,الفوائد الغذائية والعلاجية لكل ما يخرج من بطون النحل من مركبات مختلفة,TAAK_1_16_69
53,Tafsir Ayat Al Konia,529,536,16,81,"Components and Composition of Visible Light for Humans and Its Various Effects For humans, light serves various purposes, such as covering the body and protection from weather fluctuations, as well as the crafting of armor used in dangerous situations.",1,مكونات وتركيب الضوء المرئى بالنسبة للإنسان وتأثيراته المختلفة عليه ، ودور الجبال فى توفير السكن والملاذ للإنسان ، وتدبير ملبس الإنسان لمختلف أغراضه ، من ستر البدن ، والحماية من التقلبات الجوية ، وكذلك صنع الدروع المستخدمة فى حالات الخطر,TAAK_1_16_81
54,Tafsir Ayat Al Konia,537,544,16,115," A clarification of all that is prohibited for humans to consume, and an explanation of the severe harms resulting from consuming these prohibitions.",1,بيان لكل ما حُرِم على الإنسان من أكله.. وبيان المضار الخطيرة من أكل هذه المحرمات,TAAK_1_16_115
55,Tafsir Ayat Al Konia,549,556,17,12,"An elucidation of why the alternation of night and day, along with their accompanying and resulting phenomena, provides a suitable life for humans, and the illuminating phenomena in the pitch darkness of night.",1,شرح لماذا كان الليل والنهار بما يصاحبهما من نتائج فى توفير حياة ملائمة للإنسان ، والظواهر المنيرة فى ظلمة الليل الحالك,TAAK_1_17_12
56,Tafsir Ayat Al Konia,557,566,17,44,"How Everything in Existence, from Creatures to the Signs of Allah (Glorified be He), is His Creation, and its Relation to Other Creatures in Its Environment",1,كيف كان كل ما فى الوجود من مخلوقات وآيات الله (سبحانه وتعالى) له قدر من الإدراك الذى يعينه فى التعرف على ذاته ، وعلى خالقه ، وعلى المخلوقات الأخرى فى محيطه,TAAK_1_17_44
57,Tafsir Ayat Al Konia,51,58,18,11,The relationship between striking the ear and deep sleep (from the story of the People of the Cave) ,2,العلاقة بين الضرب على الأذن والاستغراق في النوم (من قصة أهل الكهف),TAAK_2_18_11
58,Tafsir Ayat Al Konia,59,66,18,18,Prolonged lying and bedsores (from the story of the People of the Cave),2,الرقود الطويل وقرحة الفراش (من قصة أهل الكهف),TAAK_2_18_18
59,Tafsir Ayat Al Konia,73,82,20,6,The perceptible part of the universe | The characteristics and composition of the Earth and what lies beneath its surface (beneath the soil),2,الجزء المدرك من الكون  | صفات الكرة الأرضية وتكوينها وما تحت سطحها (تحت الثرى),TAAK_2_20_6
60,Tafsir Ayat Al Konia,83,92,20,50,"The divine inception in all that Allah, the Exalted, has created ",2,الهداية الربانية في كل ما خلق الله تعالى,TAAK_2_20_50
61,Tafsir Ayat Al Konia,93,104,20,55,The creation of man from the dust of the earth and his return to decomposition into the dust of the earth | An explanation of the coccyx,2,خلق الإنسان من تراب الأرض وعودة تحلله إلى تراب الأرض | شرح لعجب الذنب ,TAAK_2_20_55
